id,school_dbn,school_name,year,regents_exam,total_tested,mean_score,percent_65_or_above
228,01M458,Forsyth Satellite Academy,2015,Living Environment,10,54.8,10.0
229,01M458,Forsyth Satellite Academy,2016,Common Core English,70,65.042854,61.42857
230,01M458,Forsyth Satellite Academy,2016,English,16,56.1875,37.5
231,01M458,Forsyth Satellite Academy,2016,Global History and Geography,8,50.125,25.0
232,01M458,Forsyth Satellite Academy,2017,Common Core Algebra,9,49.333332,0.0
233,01M458,Forsyth Satellite Academy,2017,Common Core English,73,64.54794,65.753426
234,01M458,Forsyth Satellite Academy,2017,Global History and Geography,16,52.1875,12.5
235,01M458,Forsyth Satellite Academy,2017,Living Environment,6,44.333332,0.0
236,01M458,Forsyth Satellite Academy,2017,US History and Government,6,51.0,16.666666
237,01M458,Forsyth Satellite Academy,2018,Common Core English,65,58.246155,43.076923
238,01M458,Forsyth Satellite Academy,2018,Global History and Geography,8,46.625,12.5
239,01M458,Forsyth Satellite Academy,2019,Common Core Algebra,7,45.285713,0.0
240,01M458,Forsyth Satellite Academy,2019,Common Core English,76,59.56579,47.36842
241,01M458,Forsyth Satellite Academy,2019,Living Environment,7,42.142857,0.0
242,01M458,Forsyth Satellite Academy,2019,US History and Government,7,52.0,42.857143
243,01M458,Forsyth Satellite Academy,2020,Common Core English,39,60.384617,48.71795
244,01M458,Forsyth Satellite Academy,2022,Common Core English,14,65.92857,64.28571
245,01M458,Forsyth Satellite Academy,2023,Common Core Algebra,8,48.5,37.5
246,01M458,Forsyth Satellite Academy,2023,Common Core English,54,67.05556,57.407406
247,01M509,Marta Valle High School,2015,Algebra 2 (Trigonometry),19,74.1579,68.42105
248,01M509,Marta Valle High School,2015,Common Core Algebra,41,61.341465,39.02439
249,01M509,Marta Valle High School,2015,English,106,69.15094,73.58491
250,01M509,Marta Valle High School,2015,Geometry,37,65.675674,62.162163
251,01M509,Marta Valle High School,2015,Global History and Geography,101,62.831684,59.40594
252,01M509,Marta Valle High School,2015,Integrated Algebra,74,60.324326,39.18919
253,01M509,Marta Valle High School,2015,Living Environment,86,64.11628,58.139534
254,01M509,Marta Valle High School,2015,Chemistry,15,73.46667,86.666664
255,01M509,Marta Valle High School,2015,Earth Science,43,71.23256,74.4186
256,01M509,Marta Valle High School,2015,Spanish,26,90.96154,100.0
257,01M509,Marta Valle High School,2015,US History and Government,72,79.083336,84.72222
258,01M509,Marta Valle High School,2016,Algebra 2 (Trigonometry),15,50.866665,13.333333
259,01M509,Marta Valle High School,2016,Common Core Algebra,108,65.546295,59.25926
260,01M509,Marta Valle High School,2016,Common Core Algebra 2,14,52.285713,7.142857
261,01M509,Marta Valle High School,2016,Common Core English,59,64.355934,64.40678
262,01M509,Marta Valle High School,2016,Common Core Geometry,21,51.761906,9.523809
263,01M509,Marta Valle High School,2016,English,12,55.25,50.0
264,01M509,Marta Valle High School,2016,Global History and Geography,74,54.41892,21.621622
265,01M509,Marta Valle High School,2016,Integrated Algebra,17,67.47059,58.82353
266,01M509,Marta Valle High School,2016,Living Environment,78,63.871796,58.974358
267,01M509,Marta Valle High School,2016,Earth Science,42,59.738094,35.714287
268,01M509,Marta Valle High School,2016,Spanish,12,84.25,91.666664
269,01M509,Marta Valle High School,2016,US History and Government,56,67.96429,69.64286
270,01M509,Marta Valle High School,2017,Common Core Algebra,81,59.91358,39.506172
271,01M509,Marta Valle High School,2017,Common Core Algebra 2,6,48.0,16.666666
272,01M509,Marta Valle High School,2017,Common Core English,92,67.51087,69.565216
273,01M509,Marta Valle High School,2017,Common Core Geometry,30,63.966667,53.333332
274,01M509,Marta Valle High School,2017,Global History and Geography,86,57.046513,34.88372
275,01M509,Marta Valle High School,2017,Living Environment,52,59.25,32.692307
276,01M509,Marta Valle High School,2017,Chemistry,36,50.47222,13.888889
277,01M509,Marta Valle High School,2017,Earth Science,11,39.636364,0.0
278,01M509,Marta Valle High School,2017,Spanish,16,82.6875,100.0
279,01M509,Marta Valle High School,2017,US History and Government,52,57.307693,40.384617
280,01M509,Marta Valle High School,2018,Common Core Algebra,44,56.386364,18.181818
281,01M509,Marta Valle High School,2018,Common Core Algebra 2,7,62.0,42.857143
282,01M509,Marta Valle High School,2018,Common Core English,29,58.068966,41.37931
283,01M509,Marta Valle High School,2018,Common Core Geometry,19,54.526318,31.578947
284,01M509,Marta Valle High School,2018,Global History and Geography,51,54.19608,29.411764
285,01M509,Marta Valle High School,2018,Living Environment,48,62.041668,45.833332
286,01M509,Marta Valle High School,2018,US History and Government,50,66.28,62.0
287,01M509,Marta Valle High School,2019,Common Core Algebra,56,60.232143,37.5
288,01M509,Marta Valle High School,2019,Common Core English,29,69.89655,75.86207
