schools,id
10X243: West Bronx Academy for the Future,311
10X244: The New School for Leadership and Journalism,312
10X254: I.S. 254,313
10X264: Bronx Academy for Software Engineering (BASE),314
10X268: Kingsbridge International High School,315
"10X279: P.S. 279 Captain Manuel Rivera, Jr.",316
10X280: P.S. | M.S. 280 Mosholu Parkway,317
10X284: Bronx School of Law and Finance,318
10X308: Bronx Dance Academy School,319
10X319: Providing Urban Learners Success In Education (PULSE) High School,320
10X331: The Bronx School of Young Leaders,321
10X342: International School for Liberal Arts,322
10X351: Bronx Collaborative High School,323
10X353: World View High School,324
10X363: Academy For Personal Leadership And Excellence,325
10X368: M.S. | H.S. 368 In-Tech Academy,326
10X374: Knowledge and Power Preparatory Academy International High School (KAPPA),327
10X390: M.S. 390,328
10X391: The Angelo Patri Middle School,329
10X397: English Language Learners and International Support Preparatory Academy (ELLIS),330
10X433: High School for Teaching and the Professions,331
10X434: Belmont Preparatory High School,332
10X437: Fordham High School for the Arts,333
10X438: Fordham Leadership Academy,334
10X439: Bronx High School for Law and Community Service,335
10X440: DeWitt Clinton High School,336
10X442: The Celia Cruz Bronx High School of Music,337
10X445: The Bronx High School of Science,338
10X447: Creston Academy,339
10X459: East Fordham Academy for the Arts,340
10X477: Marble Hill High School for International Studies,341
10X503: Walton YABC,342
10X504: Kennedy YABC,343
10X524: Crotona International High School,344
10X546: Bronx Theatre High School,345
10X549: Discovery High School,346
10X565: High School for Energy and Technology,347
10X668: Dewitt Clinton Campus YABC,348
10X696: High School of American Studies at Lehman College,349
11X019: P.S. 019 Judith K. Weiss,350
11X083: P.S. 083 Donald Hertz,351
11X089: P.S. 089 Bronx,352
11X127: J.H.S. 127 The Castle Hill,353
11X144: J.H.S. 144 Michelangelo,354
11X175: P.S. 175 City Island,355
11X180: M.S. 180 Dr. Daniel Hale Williams,356
11X181: I.S. 181 Pablo Casals,357
11X194: P.S. | M.S. 194,358
11X249: Bronx Health Sciences High School,359
11X253: Bronx High School for Writing and Communication Arts,360
11X265: Bronx Lab School,361
11X270: Academy for Scholarship and Entrepreneurship: A College Board School,362
11X275: High School of Computers and Technology,363
11X287: North Bronx School of Empowerment,364
11X288: Collegiate Institute for Math and Science,365
11X290: Bronx Academy of Health Careers,366
11X299: Astor Collegiate Academy,367
11X326: Bronx Green Middle School,368
11X355: Bronx Alliance Middle School,369
11X370: Leaders of Tomorrow,370
11X417: Christopher Columbus YABC,371
11X418: Bronx High School for the Visual Arts,372
11X455: Harry S Truman High School,373
11X462: Cornerstone Academy for Social Action Middle School (CASA),374
11X468: Pelham Academy of Academics and Community Engagement,375
11X498: P.S. | M.S. 498 Van Nest Academy,376
11X508: Bronxdale High School,377
11X509: High School of Language and Innovation,378
11X513: New World High School,379
11X514: The Bronxwood Preparatory Academy,380
11X529: One World Middle School at Edenwald,381
11X542: Pelham Preparatory Academy,382
11X544: High School for Contemporary Arts,383
11X545: Bronx Aerospace High School,384
11X556: Bronx Park Middle School,385
11X566: Pelham Gardens Middle School,386
12X098: J.H.S. 098 Herman Ridder,387
