borough,school_dbn,school_name,year,category,regents_exam,total_tested,mean_score,percent_65_or_above,id
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2018,SWD,Common Core English,42,42.642857,14.285714,125
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2018,Non-SWD,Global History and Geography,84,72.583336,77.38095,126
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2018,SWD,Global History and Geography,25,59.12,40.0,127
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2018,Non-SWD,Living Environment,115,65.92174,57.391304,128
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2018,SWD,Living Environment,43,54.697674,27.906977,129
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2018,Non-SWD,US History and Government,112,65.58036,57.142857,130
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2018,SWD,US History and Government,26,51.96154,26.923077,131
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,Non-SWD,Common Core Algebra,177,61.491524,45.76271,132
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,SWD,Common Core Algebra,65,51.046154,16.923077,133
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,Non-SWD,Common Core English,140,72.89286,78.57143,134
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,SWD,Common Core English,41,59.390244,43.90244,135
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,Non-SWD,Common Core Geometry,14,48.5,7.142857,136
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,Non-SWD,Global History and Geography,71,74.323944,84.50704,137
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,SWD,Global History and Geography,9,55.666668,44.444443,138
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,Non-SWD,Living Environment,94,64.62766,57.446808,139
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,SWD,Living Environment,39,52.589745,25.641026,140
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,Non-SWD,US History and Government,86,68.139534,66.27907,141
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2019,SWD,US History and Government,23,49.304348,13.043478,142
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2022,Non-SWD,Common Core Algebra,158,58.518986,33.544304,143
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2022,SWD,Common Core Algebra,36,45.833332,11.111111,144
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2022,Non-SWD,Common Core English,180,66.80556,65.55556,145
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2022,SWD,Common Core English,49,49.183674,28.571428,146
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2022,Non-SWD,Global History and Geography,73,69.821915,72.60274,147
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2022,SWD,Global History and Geography,18,54.444443,27.777779,148
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2022,Non-SWD,Living Environment,128,66.17969,56.25,149
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2022,SWD,Living Environment,23,52.173912,13.043478,150
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2023,Non-SWD,Common Core Algebra,159,61.408806,46.540882,151
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2023,SWD,Common Core Algebra,33,48.454544,12.121212,152
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2023,Non-SWD,Common Core English,191,74.06283,79.057594,153
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2023,SWD,Common Core English,50,57.72,46.0,154
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2023,Non-SWD,Global History and Geography,86,69.69768,69.76744,155
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2023,SWD,Global History and Geography,23,59.173912,34.782608,156
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2023,Non-SWD,Living Environment,117,64.67522,52.99145,157
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2023,SWD,Living Environment,46,51.95652,23.913044,158
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2023,Non-SWD,US History and Government,120,65.941666,63.333332,159
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2023,SWD,US History and Government,28,57.785713,39.285713,160
Bronx,07X296,South Bronx Academy for Applied Media,2022,Non-SWD,Common Core Algebra,17,70.411766,76.47059,161
Bronx,07X296,South Bronx Academy for Applied Media,2022,Non-SWD,Living Environment,10,74.7,90.0,162
Bronx,07X296,South Bronx Academy for Applied Media,2023,Non-SWD,Living Environment,11,68.90909,54.545456,163
Bronx,07X298,Academy of Public Relations,2019,Non-SWD,Common Core Algebra,26,65.57692,61.53846,164
Bronx,07X334,International Community High School,2017,Non-SWD,Common Core English,120,59.941666,55.0,165
Bronx,07X334,International Community High School,2017,SWD,Common Core English,6,66.333336,66.666664,166
Bronx,07X334,International Community High School,2018,Non-SWD,Common Core Algebra,12,79.083336,100.0,167
Bronx,07X334,International Community High School,2018,Non-SWD,Common Core English,157,62.0828,61.78344,168
Bronx,07X334,International Community High School,2018,SWD,Common Core English,6,69.833336,83.333336,169
Bronx,07X334,International Community High School,2019,Non-SWD,Common Core English,124,67.354836,66.129036,170
Bronx,07X334,International Community High School,2019,SWD,Common Core English,8,60.0,50.0,171
Bronx,07X334,International Community High School,2022,Non-SWD,Common Core English,71,57.56338,45.070423,172
Bronx,07X334,International Community High School,2022,SWD,Common Core English,13,35.615383,7.6923075,173
Bronx,07X334,International Community High School,2023,Non-SWD,Common Core English,78,61.51282,58.974358,174
Bronx,07X334,International Community High School,2023,SWD,Common Core English,8,30.75,12.5,175
Bronx,07X343,Academy of Applied Mathematics and Technology,2018,Non-SWD,Living Environment,30,79.166664,96.666664,176
Bronx,07X343,Academy of Applied Mathematics and Technology,2022,Non-SWD,Living Environment,27,73.0,81.48148,177
Bronx,07X379,Jill Chaifetz Transfer High School,2017,Non-SWD,Common Core Algebra,38,61.210526,44.736843,178
Bronx,07X379,Jill Chaifetz Transfer High School,2017,SWD,Common Core Algebra,8,52.125,0.0,179
Bronx,07X379,Jill Chaifetz Transfer High School,2017,Non-SWD,Common Core English,45,53.933334,40.0,180
Bronx,07X379,Jill Chaifetz Transfer High School,2017,SWD,Common Core English,13,51.846153,23.076923,181
Bronx,07X379,Jill Chaifetz Transfer High School,2017,Non-SWD,Global History and Geography,49,58.795918,40.816326,182
Bronx,07X379,Jill Chaifetz Transfer High School,2017,SWD,Global History and Geography,21,51.57143,9.523809,183
Bronx,07X379,Jill Chaifetz Transfer High School,2017,Non-SWD,Living Environment,32,60.625,46.875,184
