category,year,regents_exam,median_mean_score,median_percent_65_or_above,id
Staten Island,2019,Living Environment,71.803276,73.23943,206
Staten Island,2019,Physics,68.13793,62.068966,207
Staten Island,2019,Spanish,81.36122,91.028915,208
Staten Island,2019,US History and Government,73.8828,79.02778,209
Bronx,2022,Chemistry,47.941177,6.060606,210
Bronx,2022,Chinese,89.237114,95.87629,211
Bronx,2022,Common Core Algebra,62.36709,48.660713,212
Bronx,2022,Common Core Algebra 2,50.105263,15.254237,213
Bronx,2022,Common Core English,65.39815,62.02532,214
Bronx,2022,Common Core Geometry,44.729412,8.433735,215
Bronx,2022,Earth Science,50.769463,22.227821,216
Bronx,2022,French,65.61539,59.615383,217
Bronx,2022,Global History and Geography,66.63636,62.962963,218
Bronx,2022,Italian,77.85294,92.59259,219
Bronx,2022,Living Environment,64.33292,54.192383,220
Bronx,2022,Physics,39.717392,8.695652,221
Bronx,2022,Spanish,80.44231,87.5,222
Brooklyn,2022,Chemistry,48.535645,9.005377,223
Brooklyn,2022,Chinese,83.91782,86.86574,224
Brooklyn,2022,Common Core Algebra,64.353134,54.80082,225
Brooklyn,2022,Common Core Algebra 2,50.020836,18.465908,226
Brooklyn,2022,Common Core English,65.376724,62.673676,227
Brooklyn,2022,Common Core Geometry,43.86884,7.6923075,228
Brooklyn,2022,Earth Science,53.429626,27.493607,229
Brooklyn,2022,French,68.98291,64.58333,230
Brooklyn,2022,Global History and Geography,65.81706,60.0,231
Brooklyn,2022,Italian,71.018936,73.279816,232
Brooklyn,2022,Living Environment,66.00907,59.49164,233
Brooklyn,2022,Physics,52.31207,32.70115,234
Brooklyn,2022,Spanish,77.42857,83.333336,235
Manhattan,2022,Chemistry,54.00817,16.666666,236
Manhattan,2022,Chinese,85.82143,95.0,237
Manhattan,2022,Common Core Algebra,64.78689,56.074768,238
Manhattan,2022,Common Core Algebra 2,54.44,26.530613,239
Manhattan,2022,Common Core English,70.88393,75.13441,240
Manhattan,2022,Common Core Geometry,48.61252,18.032787,241
Manhattan,2022,Earth Science,56.75286,33.863274,242
Manhattan,2022,French,80.04584,90.27777,243
Manhattan,2022,Global History and Geography,69.007324,69.42551,244
Manhattan,2022,Italian,74.86667,76.666664,245
Manhattan,2022,Living Environment,67.553345,64.00966,246
Manhattan,2022,Physics,51.7027,24.193548,247
Manhattan,2022,Spanish,84.26506,95.16729,248
Queens,2022,Chemistry,55.01111,24.088196,249
Queens,2022,Chinese,83.02651,90.09563,250
Queens,2022,Common Core Algebra,67.56784,65.0,251
Queens,2022,Common Core Algebra 2,54.362904,34.22222,252
Queens,2022,Common Core English,72.652176,76.75805,253
Queens,2022,Common Core Geometry,51.72326,23.404255,254
Queens,2022,Earth Science,59.5,41.025642,255
Queens,2022,French,73.49519,81.63461,256
Queens,2022,Global History and Geography,71.47287,76.388885,257
Queens,2022,Italian,75.80769,81.08108,258
Queens,2022,Living Environment,72.05658,72.10433,259
Queens,2022,Physics,50.17124,20.254343,260
Queens,2022,Spanish,77.965515,83.333336,261
Staten Island,2022,Chemistry,61.12291,41.558395,262
Staten Island,2022,Chinese,67.95,55.0,263
Staten Island,2022,Common Core Algebra,68.139534,75.92593,264
Staten Island,2022,Common Core Algebra 2,59.259556,45.982643,265
Staten Island,2022,Common Core English,67.212975,67.72093,266
Staten Island,2022,Common Core Geometry,53.91427,30.218948,267
